Orycteropus afer;Papio ursinus ;Mellivora capensis;Potamochoerus larvatus;Caracal caracal;Civettictis civetta;Sylvicapra grimmia;Cephalophus natalensis;Loxodonta africana;Genetta maculata;Giraffa giraffa;Lepus microtis;Crocuta crocuta;Aepyceros melampus;Lupulella mesomelas;Tragelaphus strepsiceros;Panthera pardus;Panthera leo;Atilax paludinosus;Ichneumia albicauda;Chlorocebus pygerythrus;Tragelaphus angasii;Hystrix africaeaustralis;Pronolagus crassicaudatus;Leptailurus serval;Phacochoerus africanus;Connochaetes taurinus;Equus quagga;Kobus ellipsiprymnus
;;;;;;1;;;;;;;;;1;;;;;1;;;;;1;;;
;;;;;;;;;;;;;2;;2;;;;;1;1;;;;3;2;;
;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;
;;;;;;1;;;;;1;;3;;2;;;;;2;;;;;1;3;1;
;;;;;;;;;;;;;4;;1;;;;;2;;;;;;;;
;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;
;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1
;;;;;;1;;;;;;;2;;1;;;;;;2;;;;;;;1
;;;;;;;;;;;;;1;;;;;;;;1;;;;;1;;
;;;;;;1;;;;;;;3;;1;;;;;2;2;;;;1;1;;
;;;;;;;;;;;;;1;;;;;;;;3;;;;;;;1
;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;
;;;;;;;;;;;;;1;;;;;;;;1;;;;;2;;
;;;;;;;;;;;;;;;1;;;;;;3;;;;;1;;
;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;
;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
;;;;;;;;;;;;;2;;1;;;;;;1;;;;1;;;1
;;;;;;;;;;1;;;1;;1;;;;;;2;;;;;;;
;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;
;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;1;;;;;1;;;;;;;;;;;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;
;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;
;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;
;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;1;
;;;;;;;;;;1;;;1;;1;;;;;;;;;;1;2;;
;;;;;;;;;;;;;1;;1;;;;;1;1;;;;;1;1;
;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
