common_name;species;weight_kg
Aardvark;Orycteropus afer;61
Baboon, Chacma;Papio ursinus ;28.5
Badger, Honey;Mellivora capensis;11.5
Bushpig, African;Potamochoerus larvatus;97.5
Caracal;Caracal caracal;13.5
Civet, African;Civettictis civetta;13.5
Duiker, Common or Grey;Sylvicapra grimmia;16.75
Duiker, Natal red;Cephalophus natalensis;13
Elephant, African;Loxodonta africana;4250
Genet, Rusty spotted;Genetta maculata;2.15
Giraffe, South African;Giraffa giraffa;1190
Hare, African savanna ;Lepus microtis;3
Hyena, Spotted;Crocuta crocuta;65
Impala;Aepyceros melampus;60
Jackal, Black-backed;Lupulella mesomelas;10
Kudu, Greater;Tragelaphus strepsiceros;217.5
Leopard, African;Panthera pardus;55
Lion;Panthera leo;191
Mongoose, Water;Atilax paludinosus;3.6
Mongoose, White-tailed;Ichneumia albicauda;3.6
Monkey, Vervet;Chlorocebus pygerythrus;5.75
Nyala;Tragelaphus angasii;101
Porcupine;Hystrix africaeaustralis;17
Serval;Leptailurus serval;12
Warthog, Common;Phacochoerus africanus;97.5
Wildebeest, Blue;Connochaetes taurinus;215
Zebra, Plains;Equus quagga;248.5
Waterbuck;Kobus ellipsiprymnus;180
